epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.181727,0.167327,15.559157,9.804070,5.374276
2,2.549532,0.314538,26.499190,17.678488,11.272529
3,2.293753,0.365539,29.700162,20.233140,13.582507
4,2.126959,0.406279,35.575365,25.115116,19.648036
5,2.011975,0.441938,41.774716,29.848256,26.059356
6,1.912378,0.465508,41.329011,29.797674,26.798669
7,1.819784,0.488367,47.893031,34.605233,31.812280
8,1.743915,0.501473,48.095624,35.403488,32.529925
9,1.674640,0.522605,51.499190,38.899419,36.282818
10,1.636306,0.537235,54.011345,40.106977,38.415740
11,1.599410,0.545972,55.632091,41.548837,39.816977
12,1.551276,0.554201,56.564019,43.032558,41.178687
13,1.526233,0.563446,56.482982,44.869767,43.136353
14,1.479899,0.579397,58.792545,45.778488,44.796558
15,1.454021,0.583664,59.724473,48.270349,45.443878
16,1.433147,0.586000,60.129660,46.955233,45.809797
17,1.370533,0.613431,61.183144,48.917442,48.326828
18,1.334866,0.614853,62.074554,49.645930,48.625111
19,1.323060,0.621762,60.858995,48.423256,47.901793
20,1.297189,0.622879,62.236629,49.501744,48.774557
21,1.295256,0.624505,62.844408,50.314535,49.438913
22,1.278721,0.630397,64.465154,52.892442,51.318221
23,1.267582,0.633140,64.546191,53.850581,52.410774
24,1.252712,0.638423,63.816856,51.863953,51.611656
25,1.250786,0.638118,63.533225,52.045930,51.485936
26,1.243309,0.641268,64.829822,53.451744,52.214092
27,1.228787,0.644214,65.437601,53.388953,52.212461
28,1.225630,0.644824,66.166937,55.313372,53.909515
29,1.213058,0.647364,64.505673,52.583140,52.336583
30,1.204144,0.647160,64.708266,53.800581,52.426544
31,1.194903,0.654374,67.220421,55.487209,54.972343
32,1.197625,0.655491,66.815235,55.712209,54.510309
33,1.159304,0.657320,66.410049,54.248256,54.147078
34,1.151033,0.667378,66.572123,55.650581,54.655974
35,1.127588,0.676521,66.288493,55.932558,55.128065
36,1.134232,0.672458,66.653160,55.829070,55.167074
37,1.133355,0.669816,67.017828,56.054651,55.813759
38,1.131430,0.675912,66.896272,56.404070,56.053286
39,1.112369,0.675099,66.653160,56.329070,55.774692
40,1.119118,0.671848,67.787682,57.087209,56.354883
41,1.110214,0.676928,67.706645,57.316279,56.113471
42,1.107888,0.671137,67.463533,56.578488,56.403087
43,1.098867,0.680992,68.233387,58.324419,57.570935
44,1.095174,0.678249,67.220421,56.575000,56.273506
45,1.091117,0.676115,67.382496,56.511628,56.199752
46,1.088753,0.680484,68.111831,58.340698,57.726890
47,1.082694,0.683735,68.476499,58.073837,57.271486
48,1.079230,0.689830,67.949757,57.954070,57.069780
49,1.065985,0.691253,68.030794,57.086628,57.010717
50,1.062118,0.689322,68.598055,57.799419,58.142088
