epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.119671,0.182160,19.448947,12.316279,7.650401
2,2.507627,0.322564,27.350081,18.091279,11.223864
3,2.247784,0.376003,32.982172,22.666279,17.104724
4,2.063048,0.431169,39.546191,28.481395,23.548077
5,1.938954,0.460734,43.760130,31.734302,28.380063
6,1.836391,0.481560,45.178282,33.575000,31.215481
7,1.743744,0.500864,51.944895,38.955814,36.787277
8,1.690352,0.520471,52.066451,39.102907,37.061798
9,1.619644,0.536117,53.322528,40.765698,38.798265
10,1.589298,0.547089,56.361426,42.601744,41.432032
11,1.505080,0.572590,58.103728,44.899419,43.515733
12,1.470621,0.578279,59.116694,46.491860,45.146799
13,1.454066,0.589861,59.440843,46.820349,44.997465
14,1.427422,0.591893,59.157212,46.627326,45.174946
15,1.409704,0.595347,60.818476,49.309884,46.569088
16,1.403536,0.593417,60.777958,47.551744,47.012892
17,1.393072,0.601341,61.061588,48.288953,47.862448
18,1.362085,0.617799,61.223663,48.762791,48.091539
19,1.350273,0.611501,60.656402,47.852326,46.395471
20,1.336226,0.613126,61.304700,48.173837,47.088944
21,1.296092,0.631616,63.371151,50.152326,48.790167
22,1.292565,0.627146,63.897893,52.326163,50.788737
23,1.274710,0.633851,63.654781,51.392442,50.312069
24,1.268887,0.633242,63.249595,50.443023,50.058663
25,1.263004,0.636696,63.371151,51.025581,49.622336
26,1.258646,0.643808,64.222042,52.597674,50.863648
27,1.258402,0.636493,64.748784,52.430814,50.811511
28,1.245015,0.644113,65.113452,53.080233,51.512783
29,1.228814,0.644722,64.262561,51.791860,50.603040
30,1.239799,0.640252,64.343598,52.750581,50.543872
