epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.188397,0.165600,17.179903,10.900000,5.308521
2,2.572468,0.303972,27.228525,18.132558,11.799774
3,2.336379,0.358021,30.510535,21.133140,14.327964
4,2.175945,0.395916,34.967585,25.076744,19.512465
5,2.057536,0.431068,38.654781,27.368023,22.652588
6,1.940364,0.461038,42.909238,30.517442,27.917930
7,1.847603,0.480646,47.163695,36.031977,33.300582
8,1.782891,0.495377,46.596434,35.094767,32.253364
9,1.712936,0.506654,49.918963,37.865698,36.089079
10,1.658788,0.525450,51.175041,39.149419,37.166400
11,1.577554,0.550340,55.267423,43.457558,41.731700
12,1.545275,0.560906,56.401945,43.482558,42.253677
13,1.526444,0.558468,56.523501,44.881977,43.172761
14,1.499707,0.564767,56.685575,44.305814,43.302180
15,1.482152,0.574926,58.833063,47.173837,44.717249
16,1.472768,0.580311,58.833063,46.414535,44.837156
17,1.438462,0.586000,59.116694,46.647674,46.260001
18,1.432283,0.588235,59.319287,47.484302,45.867774
19,1.415931,0.590369,59.278768,47.104651,46.010994
20,1.397558,0.597074,60.332253,47.530233,47.081045
21,1.363104,0.603475,62.479741,49.746512,48.391052
22,1.339044,0.611704,61.669368,49.459884,48.105755
23,1.343166,0.615869,62.358185,50.688372,49.263328
24,1.338979,0.616377,63.047002,50.351163,50.104216
25,1.329329,0.621457,62.317666,49.908721,48.600409
26,1.314825,0.618612,62.479741,51.068605,49.613922
27,1.310399,0.625013,63.371151,51.851163,50.342269
28,1.319539,0.625013,63.249595,51.000000,50.050790
29,1.311159,0.621050,63.897893,51.916279,50.844723
30,1.294763,0.624708,61.709887,50.334302,48.912206
