epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.165235,0.169664,16.247974,10.225000,5.679709
2,2.540246,0.317992,26.418152,17.816279,11.441960
3,2.307321,0.364625,29.902755,20.458140,14.069097
4,2.147806,0.401808,35.777958,24.852326,19.566807
5,2.024289,0.436249,41.004862,29.577326,25.395767
6,1.911418,0.466321,42.260940,31.388953,28.580224
7,1.808998,0.490196,48.257699,36.193605,33.597400
8,1.748274,0.499949,48.055105,35.353488,32.084771
9,1.683784,0.518643,51.701783,38.248837,36.336808
10,1.648278,0.529107,54.578606,39.593023,37.644640
11,1.567351,0.551559,56.158833,42.320930,40.759248
12,1.526833,0.564564,57.779579,43.991860,42.868412
13,1.510673,0.571371,57.333874,43.670349,41.968924
14,1.481154,0.574114,57.617504,44.377326,43.034809
15,1.474068,0.578482,59.278768,46.320349,44.088849
16,1.454765,0.581835,58.468395,45.405814,44.533180
17,1.446861,0.582546,58.265802,45.868605,44.934963
18,1.413648,0.596566,59.521880,46.050581,45.431925
19,1.410103,0.599817,58.670989,45.464535,43.954767
20,1.385521,0.599004,60.372771,46.998837,45.826645
21,1.355927,0.608148,61.750405,48.972674,47.515681
22,1.348321,0.614142,61.709887,49.185465,46.826617
23,1.330145,0.617190,62.034036,49.030233,47.709927
24,1.323209,0.618409,62.115073,49.401163,48.418581
25,1.317313,0.623489,61.628849,49.308721,48.119989
26,1.308412,0.624810,62.479741,49.877326,48.449848
27,1.302937,0.624911,62.520259,49.976744,48.539382
28,1.296166,0.629077,62.520259,50.043605,48.375119
29,1.284281,0.629381,62.803890,50.216860,49.470790
30,1.293600,0.623794,62.682334,50.534302,48.830814
