epoch,train_loss,train_acc,oa,macc,macro_f1
1,3.199379,0.164584,17.098865,10.650000,4.843254
2,2.585596,0.305293,26.742301,17.212209,11.369679
3,2.319681,0.364117,31.199352,21.354070,14.652555
4,2.132329,0.412984,38.735818,27.613953,22.609127
5,2.019940,0.439703,39.546191,28.042442,23.736336
6,1.909915,0.464696,43.030794,30.196512,28.113595
7,1.849896,0.476989,46.474878,34.266279,30.972139
8,1.763132,0.498832,48.581848,35.310465,32.301978
9,1.700396,0.511125,50.526742,37.245349,35.399681
10,1.672336,0.525043,52.309562,39.310465,37.149669
11,1.578392,0.545972,55.713128,42.616279,41.104114
12,1.542205,0.557960,55.915721,43.312209,41.277526
13,1.529941,0.559789,56.361426,44.284302,42.455407
14,1.506093,0.563548,56.523501,44.218605,42.644615
15,1.481650,0.576450,57.820097,45.979651,43.378485
16,1.483953,0.571675,57.779579,44.865698,43.872294
17,1.454860,0.584171,57.820097,45.611047,44.622463
18,1.441027,0.583968,59.278768,47.063372,45.567685
19,1.426071,0.591080,58.752026,45.922674,44.555276
20,1.409775,0.593417,59.764992,47.006977,45.393926
21,1.377376,0.597277,60.777958,48.373256,46.612733
22,1.357389,0.610789,61.628849,48.973256,47.412863
23,1.355663,0.611501,61.669368,49.743605,48.037620
24,1.360294,0.606218,61.669368,48.634302,48.385469
25,1.339961,0.616479,60.980551,47.992442,46.674204
26,1.336054,0.612821,62.074554,50.089535,48.781889
27,1.331381,0.614650,62.398703,50.519186,49.297179
28,1.327519,0.619831,62.925446,50.155233,49.148114
29,1.321469,0.618917,62.155592,49.980233,49.011753
30,1.317473,0.618206,60.940032,49.188953,47.379341
